Post Type,Quarter,Content,Hashtags,Accounts Reached,Accounts Engaged,Impressions,Impressions From Home,Impressions From Profile,Impressions From Hashtags,Impressions From Location,Impressions From Reel,Impressions From Explore,Impressions From Other,Interactions,Likes,Saves,Comments,Shares,Profile Visits,External Link Taps,Follows,Business Address Taps
Meeting Recap,Winter 2022,"Professional Workshop - Jamie Labelle, Human Resources Manager, LA Lakers",#SBAUCI #UCI #UCIrvine #SportsBusiness #ProfessionalWorkshop #Resume #CoverLetter #JaimeLabelle #LALakers #HumanResources #Manager,104,1,137,1,132,0,0,0,0,4,13,12,1,0,0,1,0,0,0
Announcement,Winter 2022,No Meeting,#SBAUCI #SportsBusiness #UCI #UCIrvine,114,0,141,2,139,0,0,0,0,0,14,14,0,0,0,0,0,0,0
Event Promotion,Winter 2022,Social - Watch Party,#SBAUCI #SportsBusiness #UCI #UCIrvine #NBA #LALakers #Lakers #MilwaukeeBucks #Bucks,334,25,441,130,197,0,0,0,1,113,45,21,3,1,20,52,0,0,0
Event Recap,Winter 2022,Social - Watch Party,#SBAUCI #SportsBusiness #UCI #UCIrvine #NBA #LALakers #Lakers #MilwaukeeBucks #Bucks,278,25,361,162,184,15,0,0,0,0,25,24,0,1,0,2,0,0,0
Meeting Promotion,Winter 2022,"Guest Speaker - Connor Crowley, Associate Producer, FOX Sports",#SBAUCI #SportsBusiness #UCI #UCIrvine #ConnorCrowley #FoxSports #Production #SportsProduction,242,18,326,136,164,12,0,0,0,14,31,16,0,0,15,7,0,0,0
Meeting Promotion,Winter 2022,"Guest Speaker - Connor Crowley, Associate Producer, FOX Sports",#SBAUCI #SportsBusiness #UCI #UCIrvine #ConnorCrowley #FOXSportrs #Production #SportsProduction,210,15,273,120,142,11,0,0,0,0,16,15,0,1,0,5,0,0,0
Meeting Recap,Winter 2022,"Guest Speaker - Connor Crowley, Associate Producer, FOX Sports",#SBAUCI #SportsBusiness #UCI #UCIrvine #ConnorCrowley #FOXSports #Production #SportsProduction,262,36,364,183,134,13,0,0,0,23,38,35,0,1,2,3,0,0,0
Meeting Recap,Winter 2022,"Guest Speaker - Connor Crowley, Associate Producer, FOX Sports",#SBAUCI #SportsBusiness #UCI #UCIrvine #ConnorCrowley #FOXSports #Production #SportsProduction,213,14,304,117,179,8,0,0,0,0,15,13,0,2,0,1,0,0,0
Meeting Promotion,Winter 2022,Guest Speaker - Future of Sports Tech Panel,#SBAUCI #SportsBusiness #UCI #UCIrvine #MarkDeppe #UCIESports #MaxGrodnick #Galvanized #JoeyJones #CandyDigital #FutureinSportsPanel #Networking,263,23,346,140,135,21,0,0,0,50,49,21,1,5,22,15,0,0,0
Meeting Promotion,Winter 2022,Guest Speaker - Future of Sports Tech Panel,#SBAUCI #SportsBusiness #UCI #UCIrvine #MarkDeppe #UCIESports #MaxGrodnick #Galvanized #JoeyJones #CandyDigital #FutureinSportsPanel #Networking #FutureinSportsPanel #Networking,217,16,317,143,151,21,0,0,0,2,17,15,0,1,1,3,0,0,0
Announcement,Winter 2022,Executive Board Applications,#SBAUCI #SportsBusiness #UCI #UCIrvine #ExecutiveBoard #SBAAllStars,333,31,467,173,187,18,0,0,0,89,74,23,1,3,47,55,3,2,0
Meeting Recap,Winter 2022,Guest Speaker - Future of Sports Tech Panel,#SBAUCI #SportsBusiness #UCI #UCIrvine #JoeyJones #CandyDigital #FutureinSports #Networking,301,26,421,185,191,14,0,0,0,31,28,26,2,0,0,7,0,0,0
Meeting Recap,Winter 2022,Guest Speaker - Future of Sports Tech Panel,#SBAUCI #SportsBusiness #UCI #UCIrvine #JoeyJones #CandyDigital #FutureinSports #Networking,241,12,321,120,191,8,0,0,0,2,11,11,0,0,0,6,0,0,0
Fundraiser Promotion,Winter 2022,Fundraiser - Starbucks Coffee,#SBAUCI #SportsBusiness #UCI #UCIrvine #Fundraiser #Starbucks,247,24,321,141,135,13,0,0,0,32,43,16,3,1,23,8,0,0,0
Announcement,Winter 2022,No Meeting,#SBAUCI #SportsBusiness #UCI #UCIrvine,249,12,304,121,168,15,0,0,0,0,12,12,0,0,0,4,0,0,0
Meeting Promotion,Spring 2022,"Guest Speaker - Scott Juniper, Head Coach, UCI Women's Soccer",#SBAUCI #SportsBusiness #UCI #UCIrvine #ScottJuniper #Soccer #Futbol #UCIWomensSoccer,433,32,525,150,186,28,0,0,0,161,65,27,1,2,35,75,0,0,0
Meeting Promotion,Spring 2022,"Guest Speaker - Scott Juniper, Head Coach, UCI Women's Soccer",#SBAUCI #SportsBusiness #UCI #UCIrvine #ScottJuniper #Soccer #Futbol #UCIWomensSoccer,281,19,366,145,208,12,0,0,0,1,19,19,0,0,0,6,0,0,0
